"2","プログラミング教室","RaspberryPi","遠隔操作","外部Net","2019-02-14","ラズパイNetwork（２）","&lt;p style=&quot;&quot;&gt;（書籍）すぐに作れるラズベリーパイ&times;ネットワーク　７章、８章&lt;/p&gt;&lt;p style=&quot;&quot;&gt;７章Step?password関係　&lt;br style=&quot;&quot;&gt;　　　root（SuperUser)　password&lt;br style=&quot;&quot;&gt;７章Step?ファイアウォールの設定　－－－－－－－－－－－－後回し&lt;br&gt;７章Step?IPアドレスを固定&lt;br&gt;　　　　　ファイル/etc/network/interfacesを確認－－－－－既に済の状態&lt;br&gt;７章Step??Apasheインストールを実施及び動作確認&lt;br&gt;　　　　　インストール後http://192.168.1.22/　で動作確認OK&lt;br&gt;　　　　　ついでにダイナミックDNSにて取得のDomainにてのスマホからの動作確認OK&lt;br&gt;&lt;br&gt;８章の動画配信もザット読み、後半のmjpg-streamerを使ってを読み&lt;br&gt;　　　以前作成のWeｂiopiによるクローラクレーン＋mjpg-streamerを駆動させる手順を&lt;br&gt;　　　試すとそのままOK（取得Domainにての動画配信を確認）　&lt;br style=&quot;&quot;&gt;&lt;br style=&quot;&quot;&gt;　　　　　&lt;/p&gt;"
"4","HomePage","MyPage","運用","","2019-02-04","Home Pageの新運用：BackUpとInstantWP環境構築","注：2019.1月4,5,6日勘違いで数日をロスwordpressのプラグインUpdraftPlusによるBackUpと復元は新InstantWPでのことを忘れ&lt;br&gt;xamppにて復元を試みて上手くいかず、問題解決法などで数日を費やしてしまった。&lt;br&gt;関連１：wordpressをサーバーからローカルに移行できない・・・。&lt;br&gt;&lt;br&gt;再度BackUp＆復元の手順&lt;br&gt;　　　?サーバサイドでUpdraftPlusにてbackupする。　　　　　　&lt;br&gt;　　　??のbackupしたすべてをローカルにダウンロードする。&lt;br&gt;　　　&lt;span style=&quot;color: rgb(255, 0, 0);&quot;&gt;?新instWP&lt;/span&gt;（NECPCのIWP_Winにあるzipファイル）をインストールしWordpress Admin&lt;br&gt;　　　　にて（admin,password）でダッシュボードへ。&lt;br&gt;　　　?新instWP上にプラグインUpdraftPlusを入れ有効化後、ダウンロードしたbackupを持ち込み&lt;br&gt;　　　　復元を実施。&lt;br&gt;　　　?復元直後にはMySQL Adminから入り（root＆ブランク）DBのwordpress＆optionにて&lt;br&gt;　　　　最初の２つsiteurlとhomeのアドレスをhttp://127.0.0.1:10080/wordpress/の&lt;br&gt;　　　　ローカルURLに変更することでOKとなる。&lt;br&gt;　　　?Localの新instantWPを呼び出すには　Start_InstantWP.bat　で立ち上げること。&lt;br&gt;　　　　サーバサイド＆ローカルinstantWPでのユーザ名＆パスワードは同じとなる。&lt;br&gt;　　　　　　　ユーザ名：smartworks　パスワード：Ys74j821Ys74j　　　&lt;br&gt;&lt;br&gt;　　　　　　　以上でサーバサイドと同じローカルサイトができあがる。&lt;br&gt;　　　厳重注意：&lt;br&gt;　　　　最初の２つsiteurlとhomeのアドレスを変えないとinstWPからWordpress Adminから&lt;br&gt;　　　　入ってもサーバサイドへ入ってしまう。&lt;br&gt;　　　　　　　（理由はinstWP管理画面のURLがサーバサイドURLになっているから）"
"8","プログラミング教室","Web開発","My_DB仕様","残作業他","2018-12-29","My_DB仕様　2019年残項目とスケジュール","＊残作業　at　2018年12月29日・日付順の並び替え（済：2019.12.29）&lt;br&gt;　　　階層構造の再考　優先順位　大分類、中、小、Job、資料種類　&lt;br&gt;　　　Sort優先順位　default：修正日付順　Job順　資料種類　など&lt;br&gt;・Wordpressへの組込みと動作確認-----2019.1.3までの検討ではメニュー／ボタンから外部参照&lt;br&gt;・WordpressのBackUpに組み込まれるか－－－－Updraft？？？でwordpress_backupでOK&lt;br&gt;・Style変更（体裁＆見栄えの改良、Bootstrapの使い方他）&lt;br&gt;・MyDBの骨格作成とcsvToMySQL（試作PGM：htdocs/WP_APP/APP/MyDB_csvTosql.php）&lt;br&gt;・その他　DB記事のprintout　Tableのprintout他&lt;br&gt;&lt;br&gt;＊ホームページの見直し&lt;br&gt;＊Webアプリ開発ブログ&lt;br&gt;＊RaspberryPiによるRoboticsとIoTブログ&lt;br&gt;＊アフィリエイトへの展開"
"10","プログラミング教室","Wordpress","CSS","","2018-12-28","Bootsrap?Grid横並び?横メニュー","?Colの横並び　幾つかのタグを横並びにするには上位にclass=&quot;row&quot;を含むが必要?メニューの横並び の上位にnavbar用のタグで囲む必要がある&lt;br&gt; &lt;br&gt;&lt;br&gt;関連１：Bootstrapに用意されているクラス&lt;br&gt;&lt;br&gt;関連４：よりプロっぽく見せるためのBootstrap使い方講座&lt;br&gt;&lt;br&gt;関連２：Bootstrap 4を使うための準備&lt;br&gt;&lt;br&gt;関連５：Bootstrap 4 Navigation Bar&lt;br&gt;&lt;br&gt;関連３：【Bootstrap4】グリッドレイアウト（配置）"
"11","個人事業","情報","アフィリエイト","","2018-12-28","アフィリエイト","関連１：WordPressを使ってのアフィリエイトのやり方-設置から設定までの手順&lt;br&gt;関連４：アフィリエイト"
"12","プログラミング教室","Web開発","My_DB仕様","","2018-12-28","My_DB仕様　入力など採用ツール各種","関連５：日付の入力欄を作成する　　　　注：カレンダーによる設定も可能－－－＞採用&lt;br&gt;　　　　関連３：[JavaScript] 現在日付をYYYY/MM/DD形式の文字列で取得する　－－－＞採用&lt;br&gt;&lt;br&gt;関連１：JavaScript テキストエリアの値を取得/設定するサンプル－－＞採用&lt;br&gt;&lt;br&gt;関連４：日付処理を使い倒す! JavaScriptのDate活用法を徹底解説&lt;br&gt;&lt;br&gt;関連２：カレンダーで日付の入力補助をする"
"13","プログラミング教室","Web開発","PHP&amp;MySQL","debug","2018-12-27","PHPからディベロッパーツールのコンソール","関連１：Chrome Loggerを使ってPHPのデバッグをコンソール画面から確認してみる。&lt;br&gt;関連３：クライアント側ストレージ"
"14","プログラミング教室","Web開発","My_DB仕様","","2018-12-26","My_DB仕様　debug上の各種問題及び検討事項","2018年12月のMyDBプログラムdebug上の各種問題及び検討事項?Webアプリ開発の特殊事情&lt;br&gt;　・サーバサイド（PHP）＆クライアントサイド（Javascript）の間での問い合わせなどでサイド&lt;br&gt;　　移動した場合には移動以前の状態（含む変数など記憶内容）はすべて解放され、初期状態&lt;br&gt;　　から始めなければならないので、この問い合わせの後には特定の位置から再開するといった&lt;br&gt;　　スタンドアロンプログラムのアプリ作成とは全く異なったアプローチが求められる。&lt;br&gt;　・上記課題の中でアプリ開発のアルゴリズムを検討する上で便利なツールとして&lt;br&gt;　　状態遷移図とサーバ＆クライアント間のシーケンス図を使って問題点を整理するのが良い。&lt;br&gt;　　MyDBで検討したものを紹介する。&lt;br&gt;?Web　Storageの利用&lt;br&gt;　・Webアプリ開発の特殊事情（サーバ＆クライアントでのメモリ保持不可）を補う機能として&lt;br&gt;　　Web Storage（local storage,session storgage）があり、上手く利用すると良い。&lt;br&gt;　　(1)つには、以前の状態または直前のStageなどを記憶させて次のActionを決めるためのもの。&lt;br&gt;　　(2)つには、サーバへの問い合わせを極力少なくする為に主要なデータを覚えておくためのもの。&lt;br&gt;　　がある。MyDBではsession storageを多用している。&lt;br&gt;?MyDBではHTMLエディターとしてAloha Editorを使用したが、Editデータ（HTML Styleを含む）&lt;br&gt;　　をMySQLに書き込み・読み込む形式が異なると適合しない場合があり、試行錯誤が必要であった。&lt;br&gt;　　MyDBアプリのMySQL処理を行うPHPプログラムを参照のこと。（基本的にはes処理や&lt;br&gt;　　htmlspecialcharなどの処理を行わずオリジナルデータでの読み書きが必要）&lt;br&gt;&lt;br&gt;　　"
"15","プログラミング教室","Web開発","My_DB仕様","","2018-12-12","Data Baseアプリ開発の問題点と対策","関連１：DBをボトルネックにしないアプリケーション開発"
"16","プログラミング教室","Web開発","Jvascript","","2018-12-11","HTMLのcontenteditable属性","関連１：HTMLのcontenteditable属性"
"17","プログラミング教室","Web開発","Jvascript","","2018-12-06","console.logの注意点　及び　配列と文字列の変換テキストボックス入力可、不可","関連４：console.logで配列を表示する場合、配列の内容はconsole.logが行われたタイミングではなく、&lt;br&gt;　　　　デベロッパーツールを開いたときのものになるからです。&lt;br&gt;　　　　以下のようにすることでconsole.logが実行されたタイミングの内容を得ることができると思います。 &lt;br&gt;&lt;br&gt;console.log(JSON.stringify(aaa)); &lt;br&gt;console.log(JSON.stringify(bbb)); &lt;br&gt;&lt;br&gt;関連２：テキストエリア（Textarea要素）のdisabled属性の値を取得、もしくは、設定するプロパティ。&lt;br&gt;関連５：JavaScript テキストボックスへの入力の &#039;可&#039;,&#039;不可&#039;の切り替え。&lt;br&gt;&lt;br&gt;関連１：【javascript】配列と文字列の変換&lt;br&gt;配列&rarr;文字列　ary = [&#039;Spring&#039;,&#039;Summer&#039;,&#039;Fall&#039;,&#039;Winter&#039;];　str = ary.join(&#039;,&#039;);&lt;br&gt;　　　　　　　console.log(str);　　　//=&gt;Spring,Summer,Fall,Winter&lt;br&gt;文字列&rarr;配列　str = &#039;Spring,Summer,Fall,Winter&#039;;　ary = str.split(&#039;,&#039;);&lt;br&gt;　　　　　　　console.log(ary);　　　//=&gt;[&quot;Spring&quot;, &quot;Summer&quot;, &quot;Fall&quot;, &quot;Winter&quot;]"
"18","プログラミング教室","Web開発","Jvascript","ソフト入力","2018-12-06","スクロール位置","関連１：jQueryでスクロール位置を取得・設定する：scrollTop()&lt;br&gt;関連４：javascript(jQuery)：指定位置までスクロールする方法"
"19","プログラミング教室","Web開発","Jvascript","ソフト入力","2018-12-06","javascriptテクニック　ソフト入力各種","関連１：入力フォームに値をセットする方法// &lt;input id=&quot;target&quot;&gt;&lt;br&gt;document.getElementById( &quot;target&quot; ).value = &quot;SYNCER&quot; ;&lt;br&gt;// &lt;textarea id=&quot;target&quot;&gt;&lt;/textarea&gt;&lt;br&gt;document.getElementById( &quot;target&quot; ).value = &quot;SYNCER&quot; ;&lt;br&gt;&lt;br&gt;// フォームタグを生成&lt;br&gt;var form = document.createElement(&#039;form&#039;);&lt;br&gt;form.method = &#039;POST&#039;;&lt;br&gt;form.action =&quot;&lt;?=$_SERVER[&quot;PHP_SELF&quot;]?&gt;&quot;;&lt;br&gt;var reqElm = document.createElement(&#039;input&#039;);　　// POSTパラメーターようにinputタグを生成&lt;br&gt;reqElm.name = &quot;submit_get&quot;;&lt;br&gt;reqElm.value = 0;&lt;br&gt;form.appendChild(reqElm);　　// フォームタグにinputタグを追加&lt;br&gt;form.submit();　　　　　　　　// 生成したフォームをSUBMIT"
"20","プログラミング教室","Web開発","My_DB仕様","","2018-11-30","My_DB仕様　ボタンからsubmit","関連５：[JavaScript] フォームを使わずXMLHttpRequestでPOSTで送信&lt;br&gt;関連１：【JS】ボタンを押してSubmitする&lt;br&gt;&lt;br&gt;関連４：javascriptだけでformのPOSTを行う方法&lt;br&gt;　　　　注：基本的にはこの方法でOK&lt;br&gt;&lt;br&gt;関連２：JavaScript/DOM&rsaquo; フォーム送信"
